GeneId	Symbol	#transcripts regulated	total #transcripts for gene	mean log2(fold change) of reg. trans.	min fold change of reg. trans.	max fold change of reg. trans.	fc stddev	min p_value	mean NE(treat.reg.)	stddev NE(treat.reg.)	mean NE(ctrl.reg.)	stddev NE(ctrl.reg.)	mean RPKM(treat.reg.)	stddev RPKM(treat.reg.)	mean RPKM(ctrl.reg.)	stddev RPKM(ctrl.reg.)
16819	Lcn2	8	8	-6.541	-6.826	-6.151	0.185	3.10e-56	0.02727	0.009	2.62435	0.823	3.28190	1.028	324.26558	100.191
20306	Ccl7	3	3	-6.206	-6.211	-6.195	0.008	1.37e-02	0.00035	0.000	0.02433	0.000	0.03139	0.000	2.44429	0.001
20296	Ccl2	9	9	-5.908	-6.711	-5.151	0.469	8.11e-12	0.00226	0.000	0.11283	0.009	0.19985	0.044	12.33477	1.073
16181	Il1rn	25	25	-5.720	-6.029	-4.118	0.502	9.40e-34	0.00344	0.001	0.22594	0.076	0.39339	0.141	22.11225	6.754
20299	Ccl22	7	7	-5.493	-5.574	-5.472	0.037	6.69e-06	0.00051	0.000	0.02466	0.006	0.04522	0.019	2.32693	0.459
433470	AA467197	6	6	-5.458	-5.658	-4.658	0.400	1.47e-01	0.00039	0.000	0.01534	0.004	0.03478	0.019	1.73025	0.381
105349	Akr1c18	4	4	-5.356	-5.431	-5.130	0.131	2.91e-01	0.00024	0.000	0.00732	0.000	0.02147	0.001	0.92858	0.053
108078	Olr1	5	5	-5.333	-5.333	-5.333	0.000	3.77e-05	0.00019	0.000	0.01183	0.001	0.02248	0.011	1.15225	0.084
56619	Clec4e	22	22	-5.321	-5.643	-4.658	0.226	4.42e-09	0.00061	0.000	0.03072	0.009	0.06682	0.027	3.07288	0.864
27027	Tspan32	22	22	-5.258	-5.511	-3.025	0.565	2.34e-01	0.00014	0.000	0.00529	0.002	0.01224	0.007	0.59955	0.233
17384	Mmp10	3	3	-5.233	-5.233	-5.233	0.000	7.78e-06	0.00049	0.000	0.02583	0.000	0.07274	0.000	2.88609	0.014
100041546	Ly6c2	2	2	-5.163	-5.163	-5.163	0.000	5.72e-01	0.00036	0.000	0.01291	0.000	0.03158	0.000	1.19344	0.004
240916	Vsig8	1	6	-5.130	-5.130	-5.130	0.000	6.12e-01	0.00012	0.000	0.00434	0.000	0.01050	0.000	0.38771	0.000
12775	Ccr7	7	7	-5.069	-6.347	-4.791	0.523	2.74e-04	0.00066	0.000	0.02157	0.000	0.05821	0.015	1.95302	0.019
13179	Dcn	13	13	-5.023	-5.893	-4.881	0.292	1.35e-04	0.00034	0.000	0.01608	0.008	0.05141	0.031	1.73894	0.902
18106	Cd244	12	12	-4.899	-5.288	-4.561	0.305	4.25e-01	0.00008	0.000	0.00244	0.001	0.00689	0.005	0.27274	0.066
217845	Ifi27l2b	1	4	-4.857	-4.857	-4.857	0.000	3.17e-04	0.00219	0.000	0.09404	0.000	0.31802	0.000	9.72329	0.000
56792	Stap1	10	10	-4.841	-4.989	-4.715	0.111	5.94e-03	0.00045	0.000	0.01147	0.006	0.05379	0.032	1.56158	0.886
230810	Slc30a2	7	7	-4.830	-5.104	-3.629	0.537	4.66e-06	0.00050	0.000	0.01488	0.002	0.04453	0.020	1.63184	0.303
16160	Il12b	6	6	-4.812	-4.812	-4.812	0.000	1.59e-01	0.00004	0.000	0.00487	0.001	0.00341	0.008	0.51794	0.047
20308	Ccl9	12	12	-4.716	-5.205	-4.107	0.230	1.83e-23	0.00778	0.003	0.21448	0.092	0.73771	0.266	21.44572	9.766
231507	Plac8	6	6	-4.685	-4.703	-4.658	0.022	2.26e-01	0.00030	0.000	0.01424	0.004	0.05337	0.026	1.57632	0.478
74614	Ocstamp	5	5	-4.611	-4.833	-4.347	0.158	9.90e-01	0.00012	0.000	0.00316	0.001	0.01080	0.003	0.27933	0.072
20303	Ccl4	7	7	-4.604	-4.628	-4.550	0.030	1.43e-05	0.00172	0.001	0.04743	0.028	0.20641	0.115	5.35216	3.048
67182	Pdzk1ip1	14	14	-4.594	-4.658	-4.404	0.110	1.00e+00	0.00027	0.000	0.00461	0.001	0.02392	0.011	0.68488	0.137
20750	Spp1	27	27	-4.555	-4.568	-4.377	0.036	2.63e-36	1.11301	0.295	27.96951	7.443	116.41028	26.216	2902.29068	658.304
18792	Plau	3	3	-4.529	-4.540	-4.506	0.016	6.33e-28	0.01489	0.001	0.34917	0.053	1.59698	0.071	38.90493	2.139
21949	Tnfsf8	4	4	-4.508	-4.814	-4.171	0.228	3.23e-08	0.00106	0.000	0.02300	0.000	0.09379	0.018	2.21184	0.071
20716	Serpina3n	2	2	-4.460	-4.460	-4.460	0.000	7.78e-31	0.04401	0.000	1.01945	0.005	4.15569	0.021	96.47695	0.488
277203	Tm4sf19	2	2	-4.458	-4.458	-4.458	0.000	4.48e-01	0.00045	0.000	0.00829	0.000	0.03987	0.000	0.92459	0.000
20706	Serpinb9b	5	5	-4.458	-4.458	-4.458	0.000	1.00e+00	0.00014	0.000	0.00320	0.001	0.01220	0.002	0.28304	0.053
241452	Dhrs9	5	5	-4.421	-4.550	-4.218	0.113	1.43e-05	0.00059	0.000	0.01479	0.000	0.06051	0.005	1.36399	0.045
21926	Tnf	8	8	-4.388	-4.476	-4.248	0.105	1.03e-01	0.00040	0.000	0.01227	0.001	0.04959	0.006	1.09147	0.080
20302	Ccl3	10	10	-4.387	-4.454	-4.195	0.096	7.40e-13	0.00747	0.001	0.19782	0.040	0.91853	0.144	20.51947	4.172
16176	Il1b	11	11	-4.381	-5.561	-0.703	1.281	2.58e-02	0.00048	0.000	0.01266	0.005	0.04240	0.017	1.31005	0.507
118449	Synpo2	1	9	-4.347	-4.347	-4.347	0.000	1.00e+00	0.00010	0.000	0.00208	0.000	0.00856	0.000	0.18376	0.000
241275	Noxa1	7	7	-4.339	-4.458	-3.791	0.227	1.00e+00	0.00019	0.000	0.00266	0.000	0.01677	0.002	0.35643	0.024
12475	Cd14	8	8	-4.296	-4.677	-4.018	0.168	9.06e-10	0.00435	0.001	0.08634	0.020	0.38497	0.111	7.74687	1.766
12768	Ccr1	6	6	-4.274	-4.335	-4.240	0.040	4.32e-12	0.00357	0.000	0.07149	0.007	0.31619	0.033	6.44771	0.622
17381	Mmp12	51	51	-4.271	-4.353	-4.046	0.043	1.19e-28	0.03533	0.011	0.74624	0.229	4.27267	1.310	87.16206	26.683
546546	Serpina3h	5	5	-4.227	-4.833	-3.511	0.430	1.67e-01	0.00045	0.000	0.00835	0.000	0.04000	0.012	0.75930	0.024
268958	Capn11	6	6	-4.223	-4.372	-3.929	0.170	1.64e-09	0.00153	0.001	0.02727	0.012	0.18011	0.081	3.58242	1.541
16994	Ltb	4	4	-4.194	-4.227	-4.096	0.057	1.00e+00	0.00025	0.000	0.00424	0.001	0.02247	0.004	0.43189	0.054
241633	Atp8b4	14	14	-4.174	-4.748	-2.578	0.572	3.56e-04	0.00034	0.000	0.00463	0.001	0.02973	0.025	0.59451	0.130
12491	Cd36	23	23	-4.165	-6.340	-3.909	0.511	7.63e-24	0.01624	0.006	0.28030	0.091	1.85881	0.768	32.29608	11.310
76905	Lrg1	4	4	-4.164	-4.288	-3.833	0.192	2.02e-01	0.00070	0.000	0.01287	0.000	0.06183	0.009	1.15876	0.018
76933	Ifi27l2a	5	5	-4.160	-4.363	-3.347	0.406	1.24e-05	0.00411	0.001	0.10321	0.039	0.56075	0.128	11.48903	4.126
18566	Pdcd1	3	3	-4.140	-4.163	-4.096	0.032	1.00e+00	0.00015	0.000	0.00262	0.000	0.01304	0.000	0.24260	0.004
17057	Klrb1a	5	5	-4.025	-4.025	-4.025	0.000	1.00e+00	0.00024	0.000	0.00371	0.000	0.02114	0.002	0.36314	0.038
56696	Gpr132	7	7	-4.016	-5.025	-3.648	0.562	1.81e-01	0.00042	0.000	0.00810	0.001	0.04469	0.013	0.72440	0.046
20310	Cxcl2	9	9	-3.995	-4.873	-3.703	0.436	9.37e-01	0.00040	0.000	0.00524	0.001	0.03566	0.013	0.56481	0.108
21857	Timp1	4	4	-3.979	-3.991	-3.966	0.012	4.13e-13	0.01271	0.000	0.21938	0.006	1.56539	0.052	26.03347	0.724
15000	H2-DMb2	4	4	-3.951	-3.951	-3.951	0.000	1.00e+00	0.00015	0.000	0.00241	0.000	0.01352	0.008	0.29006	0.014
622976	Gm6377	4	4	-3.939	-3.943	-3.926	0.007	3.79e-03	0.00092	0.000	0.01497	0.000	0.08169	0.001	1.32126	0.015
73748	Gadl1	7	7	-3.928	-5.951	-0.752	1.559	1.37e-03	0.00234	0.005	0.01231	0.003	0.21338	0.410	1.42685	0.362
20558	Slfn4	7	7	-3.874	-3.989	-3.703	0.081	1.19e-01	0.00040	0.000	0.00559	0.001	0.03505	0.008	0.53642	0.090
71432	5430437J10Rik	2	2	-3.873	-3.873	-3.873	0.000	1.00e+00	0.00024	0.000	0.00326	0.000	0.02149	0.000	0.33225	0.000
13011	Cst7	6	6	-3.869	-4.046	-2.996	0.390	1.04e-02	0.00197	0.001	0.02885	0.003	0.20759	0.060	3.09881	0.118
19073	Srgn	11	11	-3.845	-4.036	-3.631	0.114	9.40e-19	0.02692	0.017	0.42012	0.261	2.62494	1.605	40.21781	24.469
17386	Mmp13	10	10	-3.821	-3.839	-3.748	0.031	1.37e-05	0.00168	0.000	0.02669	0.001	0.18059	0.004	2.69106	0.036
78826	P2ry10	7	7	-3.796	-4.404	-3.163	0.488	1.00e+00	0.00016	0.000	0.00221	0.000	0.01461	0.005	0.20223	0.005
54382	Tcstv1	1	1	-3.791	-3.791	-3.791	0.000	1.00e+00	0.00033	0.000	0.00455	0.000	0.02924	0.000	0.42693	0.000
228785	Mylk2	4	4	-3.783	-3.873	-3.511	0.157	1.00e+00	0.00012	0.000	0.00148	0.000	0.01055	0.004	0.14871	0.030
16643	Klrd1	9	9	-3.762	-3.951	-3.288	0.299	1.00e+00	0.00029	0.000	0.00349	0.001	0.02568	0.015	0.48097	0.096
20288	Msr1	14	14	-3.761	-4.248	-3.591	0.160	1.32e-13	0.00583	0.002	0.08417	0.024	0.67037	0.238	9.27628	2.938
12273	C5ar1	6	6	-3.754	-4.175	-3.660	0.189	3.84e-08	0.00343	0.000	0.05200	0.007	0.32065	0.007	4.59674	0.604
15439	Hp	7	7	-3.744	-3.744	-3.744	0.000	4.02e-03	0.00201	0.000	0.03221	0.001	0.21806	0.008	3.08156	0.116
13406	Dmp1	4	4	-3.726	-3.726	-3.726	0.000	4.45e-01	0.00041	0.000	0.00557	0.000	0.03631	0.000	0.50669	0.000
14727	Gp49a	16	16	-3.714	-4.284	-3.515	0.167	4.76e-13	0.00677	0.001	0.09210	0.020	0.74938	0.178	10.43553	2.708
66813	Bcl2l14	12	14	-3.711	-4.096	-3.404	0.344	1.00e+00	0.00012	0.000	0.00176	0.001	0.01061	0.006	0.16458	0.050
227288	Cxcr1	2	2	-3.703	-3.703	-3.703	0.000	1.00e+00	0.00025	0.000	0.00347	0.000	0.02228	0.000	0.30610	0.000
20201	S100a8	3	3	-3.693	-3.703	-3.673	0.014	8.62e-01	0.00218	0.000	0.02540	0.000	0.19262	0.001	2.62820	0.010
227929	Cytip	24	27	-3.651	-4.025	-3.381	0.134	5.21e-03	0.00071	0.000	0.00924	0.006	0.07646	0.046	1.03038	0.602
50778	Rgs1	15	15	-3.640	-3.691	-3.288	0.096	1.33e-11	0.00740	0.002	0.11431	0.040	0.88812	0.271	11.74615	3.815
27007	Klrk1	10	10	-3.629	-3.703	-3.610	0.037	1.00e+00	0.00005	0.000	0.00118	0.001	0.00392	0.004	0.12878	0.064
628900	Serpina3i	4	4	-3.622	-3.951	-3.404	0.237	1.00e+00	0.00025	0.000	0.00424	0.001	0.02235	0.014	0.39912	0.057
20198	S100a4	6	7	-3.613	-4.221	-3.491	0.272	4.20e-06	0.01476	0.004	0.16886	0.026	1.47059	0.324	18.41496	1.678
16428	Itk	11	15	-3.593	-3.791	-2.791	0.354	1.00e+00	0.00005	0.000	0.00076	0.000	0.00460	0.004	0.08127	0.032
225471	Ticam2	7	7	-3.589	-3.729	-3.373	0.172	4.05e-02	0.00065	0.000	0.00806	0.005	0.05725	0.037	0.75484	0.414
21825	Thbs1	11	11	-3.578	-4.059	-2.894	0.297	1.24e-13	0.00412	0.001	0.05154	0.013	0.42579	0.096	5.33336	0.981
12968	Cryge	3	3	-3.564	-3.568	-3.558	0.004	3.05e-06	0.01297	0.000	0.14588	0.001	1.18782	0.012	14.81433	0.140
12969	Crygf	3	3	-3.558	-3.584	-3.545	0.019	1.46e-03	0.00682	0.000	0.07084	0.001	0.60338	0.001	7.49637	0.081
14728	Lilrb4	10	10	-3.548	-3.635	-3.328	0.111	8.83e-15	0.01661	0.003	0.20819	0.054	1.78341	0.405	22.41753	6.354
245945	Rbm47	23	23	-3.534	-4.025	-2.658	0.452	7.11e-02	0.00041	0.000	0.00445	0.002	0.03628	0.025	0.45194	0.120
12642	Ch25h	5	5	-3.511	-3.511	-3.511	0.000	7.27e-01	0.00071	0.000	0.01004	0.000	0.07372	0.000	0.88637	0.005
12046	Bcl2a1c	2	2	-3.511	-3.511	-3.511	0.000	1.00e+00	0.00064	0.000	0.00769	0.000	0.05644	0.000	0.67863	0.000
23845	Clec5a	10	10	-3.506	-3.838	-3.409	0.121	4.42e-08	0.00409	0.001	0.05013	0.012	0.44034	0.107	5.31930	1.421
13654	Egr2	9	9	-3.502	-6.096	-3.109	0.918	1.05e-08	0.00701	0.002	0.07075	0.008	0.62051	0.195	6.41254	0.476
213438	A630033H20Rik	9	9	-3.498	-4.404	-3.300	0.355	8.92e-02	0.00075	0.000	0.00943	0.001	0.06641	0.029	0.85004	0.076
21789	Tfpi2	4	4	-3.496	-3.703	-2.873	0.359	1.00e+00	0.00039	0.000	0.00375	0.000	0.03470	0.003	0.41667	0.062
18413	Osm	5	5	-3.490	-4.833	-2.703	0.715	6.50e-02	0.00110	0.001	0.01281	0.006	0.09766	0.053	1.15422	0.486
100502673	Gm19316	1	1	-3.487	-3.487	-3.487	0.000	8.59e-03	0.00235	0.000	0.02791	0.000	0.20830	0.000	2.46324	0.000
100861780	LOC100861780	1	1	-3.486	-3.486	-3.486	0.000	6.66e-08	0.02325	0.000	0.27563	0.000	2.05852	0.000	24.32794	0.000
20708	Serpinb6b	9	9	-3.482	-3.693	-2.578	0.325	2.58e-05	0.00342	0.000	0.03772	0.006	0.31513	0.018	3.79725	0.697
100862482	LOC100862482	1	1	-3.471	-3.471	-3.471	0.000	2.50e-10	0.02819	0.000	0.33242	0.000	2.71023	0.000	31.69365	0.000
641235	LOC641235	6	8	-3.464	-3.873	-2.926	0.426	6.36e-01	0.00041	0.000	0.00487	0.001	0.04184	0.025	0.50105	0.128
353346	Gpr141	3	5	-3.458	-3.458	-3.458	0.000	1.00e+00	0.00016	0.000	0.00192	0.000	0.01460	0.000	0.16927	0.000
12842	Col1a1	7	7	-3.430	-3.698	-3.271	0.178	3.50e-11	0.00337	0.002	0.03399	0.016	0.40791	0.214	4.50351	2.093
117167	Steap4	5	5	-3.423	-3.603	-2.938	0.254	2.61e-14	0.01069	0.002	0.12364	0.007	1.04817	0.199	11.68016	0.266
14960	H2-Aa	14	14	-3.422	-4.118	-3.227	0.256	7.95e-08	0.00789	0.005	0.09576	0.058	0.91685	0.564	9.98876	5.934
75581	Yipf7	3	3	-3.404	-3.404	-3.404	0.000	1.00e+00	0.00023	0.000	0.00207	0.000	0.02089	0.000	0.23318	0.005
436440	Gpr31c	1	3	-3.404	-3.404	-3.404	0.000	1.00e+00	0.00007	0.000	0.00075	0.000	0.00593	0.000	0.06616	0.000
67225	Rnpc3	1	15	-3.404	-3.404	-3.404	0.000	1.00e+00	0.00023	0.000	0.00263	0.000	0.02080	0.000	0.23219	0.000
13587	Ear2	2	2	-3.404	-3.404	-3.404	0.000	1.00e+00	0.00079	0.000	0.00849	0.000	0.06986	0.000	0.77991	0.002
12965	Crygb	3	3	-3.401	-3.436	-3.383	0.025	2.45e-07	0.01881	0.000	0.20441	0.007	1.78746	0.025	19.92636	0.625
16854	Lgals3	15	15	-3.396	-3.481	-3.128	0.107	3.79e-20	0.14052	0.037	1.60622	0.472	14.89505	3.882	168.20235	49.873
14058	F10	12	12	-3.396	-3.529	-3.154	0.091	9.23e-04	0.00190	0.001	0.02100	0.004	0.19254	0.069	2.25068	0.409
16414	Itgb2	9	9	-3.371	-3.384	-3.355	0.011	1.26e-16	0.02370	0.000	0.25344	0.003	2.58194	0.031	28.18631	0.384
11813	Apoc2	7	7	-3.365	-3.462	-2.891	0.197	1.02e-02	0.00401	0.001	0.05302	0.012	0.53298	0.064	5.88111	1.125
244233	Cd163l1	5	5	-3.354	-3.381	-3.336	0.017	6.10e-01	0.00033	0.000	0.00324	0.000	0.03602	0.001	0.38841	0.005
58217	Trem1	6	6	-3.347	-3.347	-3.347	0.000	1.00e+00	0.00013	0.000	0.00175	0.000	0.01111	0.008	0.18328	0.007
14969	H2-Eb1	6	6	-3.329	-3.406	-3.076	0.119	1.78e-07	0.01040	0.002	0.10145	0.014	1.00701	0.145	10.66801	1.532
71398	5430427O19Rik	5	5	-3.300	-3.312	-3.264	0.021	7.04e-01	0.00041	0.000	0.00414	0.003	0.03629	0.026	0.37675	0.262
321019	Gpr183	8	8	-3.295	-3.404	-3.176	0.090	2.63e-03	0.00231	0.000	0.02410	0.005	0.20451	0.042	2.12686	0.480
545466	LOC545466	1	1	-3.288	-3.288	-3.288	0.000	1.00e+00	0.00014	0.000	0.00095	0.000	0.01218	0.000	0.12556	0.000
71454	6620401J10Rik	3	3	-3.288	-3.288	-3.288	0.000	1.00e+00	0.00022	0.000	0.00312	0.002	0.01975	0.028	0.42430	0.283
433653	Gm5549	3	3	-3.288	-3.288	-3.288	0.000	1.00e+00	0.00127	0.000	0.01078	0.000	0.11291	0.001	1.16356	0.015
75193	4930526F13Rik	2	2	-3.288	-3.288	-3.288	0.000	1.00e+00	0.00017	0.000	0.00175	0.000	0.01501	0.000	0.15465	0.000
320139	Ptpn7	7	7	-3.286	-3.647	-2.025	0.538	1.70e-04	0.00164	0.001	0.01690	0.006	0.17191	0.087	1.70432	0.546
12332	Capg	20	20	-3.281	-3.448	-3.112	0.062	3.03e-15	0.03981	0.009	0.41663	0.093	4.70725	1.100	48.15400	11.153
