GeneId	Symbol	#transcripts regulated	total #transcripts for gene	mean log2(fold change) of reg. trans.	min fold change of reg. trans.	max fold change of reg. trans.	fc stddev	min p_value	mean NE(treat.reg.)	stddev NE(treat.reg.)	mean NE(ctrl.reg.)	stddev NE(ctrl.reg.)	mean RPKM(treat.reg.)	stddev RPKM(treat.reg.)	mean RPKM(ctrl.reg.)	stddev RPKM(ctrl.reg.)
11602	Angpt4	6	6	4.167	4.100	4.350	0.093	1.19e-07	0.03276	0.003	0.00201	0.000	3.53343	0.187	0.20858	0.023
85029	Rpph1	1	1	4.104	4.104	4.104	0.000	1.00e+00	0.01219	0.000	0.00075	0.000	1.07952	0.000	0.06622	0.000
21958	Tnp1	3	3	3.997	3.997	3.997	0.000	1.00e+00	0.00841	0.000	0.00058	0.000	0.77898	0.013	0.05146	0.001
320580	A930025A13Rik	1	2	3.997	3.997	3.997	0.000	1.00e+00	0.00177	0.000	0.00012	0.000	0.15693	0.000	0.01037	0.000
433945	Gm5563	3	3	3.920	3.882	3.997	0.054	1.00e+00	0.00227	0.001	0.00024	0.000	0.30680	0.090	0.02116	0.005
320132	A230108P19Rik	4	4	3.467	3.467	3.467	0.000	1.00e+00	0.00102	0.000	0.00010	0.000	0.09022	0.000	0.00861	0.000
672553	Gm9567	1	1	3.467	3.467	3.467	0.000	1.00e+00	0.00161	0.000	0.00017	0.000	0.15598	0.000	0.01488	0.000
258463	Olfr1393	2	2	3.467	3.467	3.467	0.000	1.00e+00	0.00272	0.000	0.00026	0.000	0.24096	0.000	0.02299	0.000
76237	6430628N08Rik	3	3	3.467	3.467	3.467	0.000	1.00e+00	0.00088	0.000	0.00015	0.000	0.14058	0.000	0.01342	0.000
77103	5330439A09Rik	2	2	3.467	3.467	3.467	0.000	1.00e+00	0.00228	0.000	0.00022	0.000	0.20192	0.000	0.01927	0.000
100306943	Scarna13	1	1	3.467	3.467	3.467	0.000	1.00e+00	0.00926	0.000	0.00089	0.000	0.82016	0.000	0.07826	0.000
17167	Marco	6	6	3.323	3.145	3.367	0.089	8.63e-01	0.00420	0.000	0.00036	0.000	0.57718	0.074	0.05303	0.025
76371	2810408B13Rik	1	2	3.297	3.297	3.297	0.000	1.00e+00	0.00089	0.000	0.00013	0.000	0.10524	0.000	0.01130	0.000
330154	D830035I06	1	1	3.297	3.297	3.297	0.000	1.00e+00	0.00276	0.000	0.00030	0.000	0.24404	0.000	0.02620	0.000
78703	C330013J21Rik	2	2	3.297	3.297	3.297	0.000	1.00e+00	0.00187	0.000	0.00014	0.000	0.24405	0.017	0.01218	0.012
622116	Gm6287	1	1	3.297	3.297	3.297	0.000	1.00e+00	0.00078	0.000	0.00004	0.000	0.11288	0.000	0.01212	0.000
544806	Tmem92	6	6	3.243	2.997	3.619	0.256	1.00e+00	0.00157	0.000	0.00021	0.000	0.16848	0.013	0.01891	0.003
114872	Psg29	3	3	3.204	2.997	3.619	0.293	1.00e+00	0.00053	0.000	0.00008	0.000	0.06298	0.004	0.00725	0.001
625342	Gm13315	2	2	3.200	3.104	3.297	0.096	1.00e+00	0.00157	0.000	0.00018	0.000	0.13928	0.038	0.01631	0.005
102220	E330037G11Rik	1	1	3.104	3.104	3.104	0.000	1.00e+00	0.00182	0.000	0.00022	0.000	0.16153	0.000	0.01982	0.000
228802	Bpifb5	3	3	3.104	3.104	3.104	0.000	1.00e+00	0.00069	0.000	0.00015	0.000	0.10720	0.000	0.01315	0.000
231044	Gbx1	2	2	3.104	3.104	3.104	0.000	1.00e+00	0.00038	0.000	0.00003	0.000	0.03334	0.016	0.00303	0.003
